品項,分類-細分,購買次數
周期限购商店购买_卡牌-高级抽卡卷,培養-卡牌,401527
周期限购商店购买_高级突破卡,培養-球員,393736
神秘商店购买_卡牌-卡牌兑换点,培養-卡牌,349304
神秘商店购买_高级突破卡,培養-球員,301739
神秘商店购买_中级突破卡,培養-球員,180911
重置技能,培養-技能,178978
周期限购商店购买_高级技能书,培養-技能,149711
通用商店购买_重置券,培養-技能,135710
周期限购商店购买_通用技能书,培養-技能,117645
神秘商店购买_通用技能书,培養-技能,117374
周期限购商店购买_中级突破卡,培養-球員,115082
通用商店购买_幸运金币,球員,99422
神秘商店购买_初级突破卡,培養-球員,78770
通用商店购买_通用技能书,培養-技能,69911
神秘商店购买_高级技能书,培養-技能,66136
通用商店购买_高级技能书,培養-技能,54149
球员突破商店购买_中级突破卡,培養-球員,47416
幸运十连抽商店购买_球员商店_十抽,球員,44421
通用商店购买_花式技能币,花式,43396
神秘商店购买_突破卡-索菲亚,培養-球員,39529
回流值重置_回流熟练度礼包,培養-技能,37554
神秘商店购买_突破卡-代号T,培養-球員,35044
通用商店购买_卡牌-高级抽卡卷,培養-卡牌,33997
神秘商店购买_突破卡-巨石,培養-球員,33614
神秘商店购买_突破卡-MZ(新),培養-球員,33128
神秘商店购买_突破卡-望月樱,培養-球員,31836
超级转盘,花式,29216
神秘商店购买_突破卡-监察者,培養-球員,25695
神秘商店购买_突破卡-萤火,培養-球員,25417
神秘商店购买_突破卡-弗兰克,培養-球員,21745
精英卡牌商店_低级卡材料,培養-貼紙,21613
神秘商店购买_突破卡-戴安娜,培養-球員,21004
回流值重置_回流技能书礼包,培養-技能,20528
神秘商店购买_突破卡-文佑炫,培養-球員,19693
神秘商店购买_突破卡-百里川,培養-球員,18744
神秘商店购买_突破卡-春道,培養-球員,17324
购买服装_酷MA萌-口罩,時裝-可愛,17248
神秘商店购买_突破卡-青橙,培養-球員,16862
球员突破商店购买_突破卡-MZ(新),培養-球員,16671
神秘商店购买_突破卡-罗拉,培養-球員,15945
神秘商店购买_突破卡-狡蚁,培養-球員,15394
神秘商店购买_突破卡-夏洛克,培養-球員,15384
球员突破商店购买_高级突破卡,培養-球員,15147
神秘商店购买_突破卡-权智龙,培養-球員,15130
神秘商店购买_突破卡-魂招,培養-球員,14379
球员突破商店购买_突破卡-索菲亚,培養-球員,13996
神秘商店购买_突破卡-渡鸦,培養-球員,13724
购买服装_金典-上身,時裝-真實,13354
神秘商店购买_突破卡-告死鸟,培養-球員,12949
神秘商店购买_突破卡-嘉莉朵,培養-球員,12759
购买服装_暗夜爵士（套装）,時裝-Kuso,12355
神秘商店购买_突破卡-阿拉拉,培養-球員,12047
神秘商店购买_突破卡-惊鸿,培養-球員,11521
神秘商店购买_突破卡-狂染,培養-球員,11452
神秘商店购买_突破卡-翎雀,培養-球員,11224
购买服装_半藏-头发,時裝-真實,11075
球员突破商店购买_突破卡-代号T,培養-球員,10979
花式动作商店购买_双手背扣,花式,10075
球员突破商店购买_突破卡-望月樱,培養-球員,10015
神秘商店购买_突破卡-鹰隼,培養-球員,9851
花式动作商店购买_转身双手扣篮（站立）,花式,9825
购买服装_蓝白简约-下身,時裝-真實,9604
球员突破商店购买_突破卡-文佑炫,培養-球員,9361
花式动作商店购买_螺旋甩投,花式,9321
花式动作商店购买_公鸡式后仰,花式,9189
球员突破商店购买_突破卡-戴安娜,培養-球員,9101
花式动作商店购买_单手投篮,花式,8781
球员突破商店购买_突破卡-权智龙,培養-球員,8765
购买服装_霸王龙-头,時裝-Kuso,8755
购买服装_滑板-背部,時裝-Kuso,8654
购买服装_小恶魔-背部,時裝-Kuso,8402
购买服装_天蝎-头发,時裝-真實,8320
花式动作商店购买_空中大回环,花式,8310
花式动作商店购买_轰炸机,花式,8289
花式动作商店购买_背后换手扣篮,花式,8245
花式动作商店购买_疯狂转体扣篮,花式,8066
购买服装_纯白-下身,時裝-真實,7912
购买服装_金木-口罩,時裝-現代,7869
花式动作商店购买_大力暴扣,花式,7859
购买服装_神式·明-口罩,時裝-Kuso,7772
购买服装_金闪闪-头发,時裝-Kuso,7273
购买服装_国王皇后-上身,時裝-真實,7199
购买服装_活力四色-头发,時裝-可愛,7109
球员突破商店购买_突破卡-萤火,培養-球員,6968
购买服装_律动-鞋子,時裝-真實,6841
购买服装_激情-上身,時裝-運動,6828
球员突破商店购买_突破卡-巨石,培養-球員,6739
购买服装_橙色激情（套装）,時裝-運動,6732
花式动作商店购买_麦氏干拔投篮,花式,6647
购买服装_神式·赤-口罩,時裝-Kuso,6486
购买服装_暗夜爵士-鞋子,時裝-Kuso,6334
购买服装_UCC-头发,時裝-真實,6213
未知操作_低级卡材料,培養-貼紙,6203
球员突破商店购买_突破卡-监察者,培養-球員,6054
购买服装_23号-护腕,時裝-運動,6046
购买服装_喵-口罩,時裝-可愛,5991
购买服装_尺寸-头发,時裝-真實,5905
购买服装_小怪兽-上身,時裝-可愛,5900
购买服装_霸王龙-鞋子,時裝-Kuso,5898
购买服装_名牌项链-项链,時裝-真實,5855
购买服装_冬歌-上身,時裝-真實,5837
球员突破商店购买_突破卡-狡蚁,培養-球員,5834
购买服装_星河-下身,時裝-運動,5593
购买服装_明歌-眼镜,時裝-真實,5442
花式动作商店购买_旋转上篮,花式,5212
购买服装_霸王龙-套裝,時裝-Kuso,5184
花式动作商店购买_少女跳投,花式,5115
球员突破商店购买_突破卡-夏洛克,培養-球員,5093
购买服装_奖牌-项链,時裝-真實,5085
购买服装_招魂-背部,時裝-Kuso,4963
购买服装_竞技世界（套装）,時裝-真實,4873
花式动作商店购买_胯下换手上篮,花式,4827
购买服装_A03-下身,時裝-真實,4788
球员突破商店购买_突破卡-弗兰克,培養-球員,4788
球员突破商店购买_突破卡-青橙,培養-球員,4772
动作商店购买_连续后空翻,花式,4738
购买服装_黑色旋律-鞋子,時裝-運動,4703
购买服装_金属礼-项链,時裝-真實,4702
购买服装_喵喵少女（套装）,時裝-現代,4689
花式动作商店购买_飞人上篮,花式,4234
购买服装_前卫-下身,時裝-運動,4153
花式动作商店购买_果冻上篮,花式,3913
购买服装_防毒面罩-口罩,時裝-Kuso,3866
购买服装_项链G-项链,時裝-真實,3802
购买服装_绅士-眼镜,時裝-真實,3798
购买服装_往事-上身,時裝-真實,3755
购买服装_活力-下身,時裝-真實,3716
购买服装_拳王(套裝),時裝-運動,3709
购买服装_黑喵酱-鞋子,時裝-真實,3703
购买服装_黑白配-眼镜,時裝-真實,3679
购买服装_旺旺-头发,時裝-可愛,3624
购买服装_素黄-护腕,時裝-運動,3523
购买服装_赤焱-鞋子,時裝-運動,3509
购买服装_爱乐-上身,時裝-真實,3348
购买服装_音悦-上身,時裝-真實,3299
购买服装_国王皇后-下身,時裝-真實,3139
购买服装_赤电浪板-背部,時裝-Kuso,3067
购买服装_法老项链-项链,時裝-Kuso,3056
购买服装_音悦-下身,時裝-可愛,2948
购买服装_心仪-眼镜,時裝-可愛,2923
购买服装_大队长-上身,時裝-真實,2899
购买服装_国王皇后-鞋子,時裝-Kuso,2896
购买服装_双金-项链,時裝-真實,2812
购买服装_粉色心-上身,時裝-可愛,2800
购买服装_水枪-背部,時裝-Kuso,2689
花式动作商店购买_低手挑篮,花式,2669
购买服装_红蓝CP-上身,時裝-真實,2596
购买服装_粉意-头发,時裝-可愛,2543
购买服装_Lolita(套裝),時裝-可愛,2484
购买服装_紫色魅惑-头发,時裝-運動,2463
购买服装_焱-护腕,時裝-真實,2263
动作商店购买_Funk吉他,時裝-Kuso,2094
动作商店购买_俯卧撑,時裝-Kuso,1957
购买服装_硬核朋克-上身,時裝-現代,1833
购买服装_喵喵-眼镜,時裝-可愛,1777
购买服装_机车头盔-头发,時裝-Kuso,1698
购买服装_小丑皇后-头发,時裝-可愛,1598
动作商店购买_Power秀,慶祝,1593
购买服装_JJ护腕-护腕,時裝-運動,1477
动作商店购买_助力后空翻,慶祝,1469
购买服装_小丑面具-口罩,時裝-Kuso,1359
购买服装_激情海滩-头发,時裝-真實,1324
购买服装_绅士-鞋子,時裝-真實,1320
购买服装_硬核朋克-口罩,時裝-現代,1315
购买服装_活力海洋-上身,時裝-Kuso,1313
购买服装_绅士-背部,時裝-Kuso,1308
动作商店购买_俏皮舞,慶祝,1307
购买服装_比目-下身,時裝-真實,1229
购买服装_飞车党-上身,時裝-Kuso,1215
购买服装_面包棒-背部,時裝-Kuso,1147
购买服装_硬核朋克-头发,時裝-現代,1087
